Country,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,Cost of Living Index,Rent Index,Local Purchasing Power Index,Cost of Living Plus Rent Index,GDP,log_salary,experience_numeric,salary_k,adjusted_salary,rent_burden_ratio,gdp_to_power_ratio,role_category,role_numeric,remote_Onsite,remote_Remote,company_size_num,country_France,country_Germany,country_Greece,country_India,country_Japan,country_Netherlands,country_Other,country_Spain,country_United Kingdom,country_United States,exp_x_role,exp_x_remote,size_x_gdp
United States,2022,Executive,FT,Data Engineer,200000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.206077645517674,4,200.0,2840.91,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,8,4.0,155721.8225817696
United Kingdom,2022,Mid,FT,Data Scientist,65438,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.088873689986276,2,65.4,1055.45,0.66,399.852,AI,4,True,False,2,False,False,False,False,False,False,False,False,True,False,8,0.0,92125.9828159396
United Kingdom,2022,Mid,FT,Data Scientist,39263,0,M,62.0,31.1,115.2,47.1,46062.9914079698,10.578063347510637,2,39.3,633.27,0.66,399.852,AI,4,True,False,2,False,False,False,False,False,False,False,False,True,False,8,0.0,92125.9828159396
United Kingdom,2022,Mid,FT,Data Engineer,78526,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.271197793678173,2,78.5,1266.55,0.66,399.852,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,True,False,4,0.0,92125.9828159396
United Kingdom,2022,Mid,FT,Data Engineer,52351,0,M,62.0,31.1,115.2,47.1,46062.9914079698,10.865745419962419,2,52.4,844.37,0.66,399.852,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,True,False,4,0.0,92125.9828159396
United States,2022,Senior,FT,Data Scientist,165220,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.015039250634192,3,165.2,2346.88,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United Kingdom,2022,Entry,FT,Data Engineer,45807,100,M,62.0,31.1,115.2,47.1,46062.9914079698,10.732214027337896,1,45.8,738.82,0.66,399.852,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,True,False,2,1.0,92125.9828159396
United States,2022,Senior,FT,Data Scientist,120160,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.696587789200349,3,120.2,1706.82,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,90320,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.41112527050716,3,90.3,1282.95,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,181940,0,M,70.4,41.7,142.3,56.6,77860.9112908848,12.111437737678415,3,181.9,2584.38,0.737,547.16,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,132320,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.792986067665478,3,132.3,1879.55,0.737,547.16,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,220110,0,M,70.4,41.7,142.3,56.6,77860.9112908848,12.301887243548784,3,220.1,3126.56,0.737,547.16,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,160080,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.983435216114666,3,160.1,2273.86,0.737,547.16,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,180000,0,L,70.4,41.7,142.3,56.6,77860.9112908848,12.100717685412471,3,180.0,2556.82,0.737,547.16,AI,4,True,False,3,False,False,False,False,False,False,False,False,False,True,12,0.0,233582.7338726544
United States,2022,Senior,FT,Data Scientist,120000,0,L,70.4,41.7,142.3,56.6,77860.9112908848,11.695255355062795,3,120.0,1704.55,0.737,547.16,AI,4,True,False,3,False,False,False,False,False,False,False,False,False,True,12,0.0,233582.7338726544
United States,2022,Senior,FT,Data Analyst,124190,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.729575982087773,3,124.2,1764.06,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Executive,FT,Data Analyst,130000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.775297421715827,4,130.0,1846.59,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,12,4.0,155721.8225817696
United States,2022,Executive,FT,Data Analyst,110000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.608244735642321,4,110.0,1562.5,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,12,4.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,170000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.04355959836804,3,170.0,2414.77,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Mid,FT,Data Analyst,115500,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.657034466915164,2,115.5,1640.62,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,6,2.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,112900,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.634266607494453,3,112.9,1603.69,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,90320,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.41112527050716,3,90.3,1282.95,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,112900,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.634266607494453,3,112.9,1603.69,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,90320,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.41112527050716,3,90.3,1282.95,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,165400,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.016128107502665,3,165.4,2349.43,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,132320,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.792986067665478,3,132.3,1879.55,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Mid,FT,Data Analyst,167000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.025755079404917,2,167.0,2372.16,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,6,2.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,243900,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.404517684236607,3,243.9,3464.49,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,136600,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.824819546736247,3,136.6,1940.34,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,109280,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.60167782556802,3,109.3,1552.27,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,128875,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.766605980745995,3,128.9,1830.61,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,93700,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.447864140528155,3,93.7,1330.97,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Executive,FT,Head of Data Science,224000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.319405795112926,4,224.0,3181.82,0.737,547.16,Other,0,False,True,2,False,False,False,False,False,False,False,False,False,True,0,4.0,155721.8225817696
United States,2022,Executive,FT,Head of Data Science,167875,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.030980890620903,4,167.9,2384.59,0.737,547.16,Other,0,False,True,2,False,False,False,False,False,False,False,False,False,True,0,4.0,155721.8225817696
United States,2022,Executive,FT,Analytics Engineer,175000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.07254696717504,4,175.0,2485.8,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,12,4.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,156600,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.961456448214491,3,156.6,2224.43,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,108800,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.597275804538212,3,108.8,1545.45,0.737,547.16,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,95550,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.467415415338404,3,95.6,1357.24,0.737,547.16,AI,4,True,False,2,False,False,False,False,False,False,False,False,False,True,12,0.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,113000,0,L,70.4,41.7,142.3,56.6,77860.9112908848,11.635151947212842,3,113.0,1605.11,0.737,547.16,Engineering,2,True,False,3,False,False,False,False,False,False,False,False,False,True,6,0.0,233582.7338726544
United States,2022,Senior,FT,Data Analyst,135000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.813037464800539,3,135.0,1917.61,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Science Manager,161342,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.991287812591057,3,161.3,2291.79,0.737,547.16,Management,1,False,True,2,False,False,False,False,False,False,False,False,False,True,3,3.0,155721.8225817696
United States,2022,Senior,FT,Data Science Manager,137141,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.828772164369175,3,137.1,1948.03,0.737,547.16,Management,1,False,True,2,False,False,False,False,False,False,False,False,False,True,3,3.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,167000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.025755079404917,3,167.0,2372.16,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,123000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.719947764402807,3,123.0,1747.16,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United Kingdom,2022,Senior,FT,Data Engineer,78526,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.271197793678173,3,78.5,1266.55,0.66,399.852,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,True,False,6,0.0,92125.9828159396
United Kingdom,2022,Senior,FT,Data Engineer,65438,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.088873689986276,3,65.4,1055.45,0.66,399.852,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,True,False,6,0.0,92125.9828159396
United States,2022,Senior,FT,Data Scientist,150000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.918397239722838,3,150.0,2130.68,0.737,547.16,AI,4,True,False,2,False,False,False,False,False,False,False,False,False,True,12,0.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,211500,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.261985005589679,3,211.5,3004.26,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
Canada,2022,Senior,FT,Data Architect,192400,100,M,64.8,33.2,103.7,49.6,56256.8007264015,12.167337014705433,3,192.4,2969.14,0.669,542.496,Other,0,False,True,2,False,False,False,False,False,False,False,False,False,False,0,3.0,112513.601452803
Canada,2022,Senior,FT,Data Architect,90700,100,M,64.8,33.2,103.7,49.6,56256.8007264015,11.415323661400773,3,90.7,1399.69,0.669,542.496,Other,0,False,True,2,False,False,False,False,False,False,False,False,False,False,0,3.0,112513.601452803
Canada,2022,Senior,FT,Data Analyst,130000,100,M,64.8,33.2,103.7,49.6,56256.8007264015,11.775297421715827,3,130.0,2006.17,0.669,542.496,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,False,9,3.0,112513.601452803
Canada,2022,Senior,FT,Data Analyst,61300,100,M,64.8,33.2,103.7,49.6,56256.8007264015,11.023551435004947,3,61.3,945.99,0.669,542.496,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,False,9,3.0,112513.601452803
Canada,2022,Senior,FT,Data Analyst,130000,100,M,64.8,33.2,103.7,49.6,56256.8007264015,11.775297421715827,3,130.0,2006.17,0.669,542.496,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,False,9,3.0,112513.601452803
Canada,2022,Senior,FT,Data Analyst,61300,100,M,64.8,33.2,103.7,49.6,56256.8007264015,11.023551435004947,3,61.3,945.99,0.669,542.496,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,False,9,3.0,112513.601452803
United States,2022,Senior,FT,Data Engineer,160000,0,L,70.4,41.7,142.3,56.6,77860.9112908848,11.982935344196433,3,160.0,2272.73,0.737,547.16,Engineering,2,True,False,3,False,False,False,False,False,False,False,False,False,True,6,0.0,233582.7338726544
United States,2022,Senior,FT,Data Scientist,138600,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.839354580719126,3,138.6,1968.75,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,136000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.820417517632333,3,136.0,1931.82,0.737,547.16,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,155721.8225817696
United States,2022,Mid,FT,Data Analyst,58000,0,S,70.4,41.7,142.3,56.6,77860.9112908848,10.968215530759236,2,58.0,823.86,0.737,547.16,Analytics,3,True,False,1,False,False,False,False,False,False,False,False,False,True,6,0.0,77860.9112908848
United States,2022,Executive,FT,Analytics Engineer,135000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.813037464800539,4,135.0,1917.61,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,12,4.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,170000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.04355959836804,3,170.0,2414.77,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United States,2022,Senior,FT,Data Scientist,123000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.719947764402807,3,123.0,1747.16,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United States,2022,Senior,FT,Machine Learning Engineer,189650,0,M,70.4,41.7,142.3,56.6,77860.9112908848,12.152940819974221,3,189.6,2693.89,0.737,547.16,AI,4,True,False,2,False,False,False,False,False,False,False,False,False,True,12,0.0,155721.8225817696
United States,2022,Senior,FT,Machine Learning Engineer,164996,0,M,70.4,41.7,142.3,56.6,77860.9112908848,12.013682570899245,3,165.0,2343.69,0.737,547.16,AI,4,True,False,2,False,False,False,False,False,False,False,False,False,True,12,0.0,155721.8225817696
Greece,2022,Mid,FT,ETL Developer,54957,0,M,52.0,12.9,53.0,33.2,20971.8349258283,10.914324536132202,2,55.0,1056.87,0.389,395.695,Engineering,2,True,False,2,False,False,True,False,False,False,False,False,False,False,4,0.0,41943.6698516566
Greece,2022,Mid,FT,ETL Developer,54957,0,M,52.0,12.9,53.0,33.2,20971.8349258283,10.914324536132202,2,55.0,1056.87,0.389,395.695,Engineering,2,True,False,2,False,False,True,False,False,False,False,False,False,False,4,0.0,41943.6698516566
Canada,2022,Executive,FT,Lead Data Engineer,118187,100,S,64.8,33.2,103.7,49.6,56256.8007264015,11.680031855957703,4,118.2,1823.87,0.669,542.496,Engineering,2,False,True,1,False,False,False,False,False,False,False,False,False,False,8,4.0,56256.8007264015
United States,2022,Senior,FT,Data Analyst,132000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.790564777297387,3,132.0,1875.0,0.737,547.16,Analytics,3,True,False,2,False,False,False,False,False,False,False,False,False,True,9,0.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,165400,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.016128107502665,3,165.4,2349.43,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Senior,FT,Data Architect,208775,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.249017185855486,3,208.8,2965.55,0.737,547.16,Other,0,False,True,2,False,False,False,False,False,False,False,False,False,True,0,3.0,155721.8225817696
United States,2022,Senior,FT,Data Architect,147800,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.903622053373214,3,147.8,2099.43,0.737,547.16,Other,0,False,True,2,False,False,False,False,False,False,False,False,False,True,0,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,136994,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.827699707793888,3,137.0,1945.94,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,101570,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.52851334031188,3,101.6,1442.76,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,128875,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.766605980745995,3,128.9,1830.61,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,93700,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.447864140528155,3,93.7,1330.97,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
India,2022,Executive,FT,Head of Machine Learning,79039,50,L,21.2,5.6,82.6,13.7,2347.44829434623,11.277709332421749,4,79.0,3728.25,0.409,28.419,AI,4,False,False,3,False,False,False,True,False,False,False,False,False,False,16,2.0,7042.34488303869
United States,2022,Senior,FT,Data Engineer,132320,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.792986067665478,3,132.3,1879.55,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United Kingdom,2022,Entry,FT,Machine Learning Engineer,37300,100,L,62.0,31.1,115.2,47.1,46062.9914079698,10.526775414924009,1,37.3,601.61,0.66,399.852,AI,4,False,True,3,False,False,False,False,False,False,False,False,True,False,4,1.0,138188.9742239094
United States,2022,Senior,FT,Data Analyst,164000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,12.00762780434872,3,164.0,2329.55,0.737,547.16,Analytics,3,True,False,2,False,False,False,False,False,False,False,False,False,True,9,0.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,155000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.951186847493476,3,155.0,2201.7,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United Kingdom,2022,Mid,FT,Machine Learning Engineer,124333,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.730726771873762,2,124.3,2005.37,0.66,399.852,AI,4,True,False,2,False,False,False,False,False,False,False,False,True,False,8,0.0,92125.9828159396
United Kingdom,2022,Mid,FT,Machine Learning Engineer,98158,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.494343891883839,2,98.2,1583.19,0.66,399.852,AI,4,True,False,2,False,False,False,False,False,False,False,False,True,False,8,0.0,92125.9828159396
United States,2022,Mid,FT,AI Scientist,120000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.695255355062795,2,120.0,1704.55,0.737,547.16,AI,4,True,False,2,False,False,False,False,False,False,False,False,False,True,8,0.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,112900,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.634266607494453,3,112.9,1603.69,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,90320,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.41112527050716,3,90.3,1282.95,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analytics Manager,145000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.884495917930655,3,145.0,2059.66,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analytics Manager,105400,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.565527402710426,3,105.4,1497.16,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
Germany,2022,Mid,FT,Machine Learning Engineer,87932,100,M,62.2,24.4,120.2,44.0,49686.1154582583,11.384330439839488,2,87.9,1413.7,0.555,413.362,AI,4,False,True,2,False,True,False,False,False,False,False,False,False,False,8,2.0,99372.2309165166
United Kingdom,2022,Mid,FT,Data Engineer,117789,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.67665865695283,2,117.8,1899.82,0.66,399.852,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,True,False,4,0.0,92125.9828159396
United States,2022,Senior,FT,Data Scientist,215300,100,L,70.4,41.7,142.3,56.6,77860.9112908848,12.279792328023508,3,215.3,3058.24,0.737,547.16,AI,4,False,True,3,False,False,False,False,False,False,False,False,False,True,12,3.0,233582.7338726544
United States,2022,Senior,FT,Data Scientist,158200,100,L,70.4,41.7,142.3,56.6,77860.9112908848,11.971621655408228,3,158.2,2247.16,0.737,547.16,AI,4,False,True,3,False,False,False,False,False,False,False,False,False,True,12,3.0,233582.7338726544
United States,2022,Senior,FT,Data Engineer,209100,100,L,70.4,41.7,142.3,56.6,77860.9112908848,12.250572667806054,3,209.1,2970.17,0.737,547.16,Engineering,2,False,True,3,False,False,False,False,False,False,False,False,False,True,6,3.0,233582.7338726544
United States,2022,Senior,FT,Data Engineer,154600,100,L,70.4,41.7,142.3,56.6,77860.9112908848,11.948602883419843,3,154.6,2196.02,0.737,547.16,Engineering,2,False,True,3,False,False,False,False,False,False,False,False,False,True,6,3.0,233582.7338726544
United States,2022,Senior,FT,Data Analyst,115934,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.66078496820908,3,115.9,1646.79,0.737,547.16,Analytics,3,True,False,2,False,False,False,False,False,False,False,False,False,True,9,0.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,81666,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.310405282483078,3,81.7,1160.03,0.737,547.16,Analytics,3,True,False,2,False,False,False,False,False,False,False,False,False,True,9,0.0,155721.8225817696
United States,2022,Senior,FT,Data Engineer,175000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.07254696717504,3,175.0,2485.8,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United Kingdom,2022,Mid,FT,Data Engineer,98158,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.494343891883839,2,98.2,1583.19,0.66,399.852,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,True,False,4,0.0,92125.9828159396
United States,2022,Mid,FT,Data Analyst,58000,0,S,70.4,41.7,142.3,56.6,77860.9112908848,10.968215530759236,2,58.0,823.86,0.737,547.16,Analytics,3,True,False,1,False,False,False,False,False,False,False,False,False,True,6,0.0,77860.9112908848
United States,2022,Senior,FT,Data Engineer,183600,100,L,70.4,41.7,142.3,56.6,77860.9112908848,12.120520203776788,3,183.6,2607.95,0.737,547.16,Engineering,2,False,True,3,False,False,False,False,False,False,False,False,False,True,6,3.0,233582.7338726544
United Kingdom,2022,Mid,FT,Data Analyst,52351,100,M,62.0,31.1,115.2,47.1,46062.9914079698,10.865745419962419,2,52.4,844.37,0.66,399.852,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,True,False,6,2.0,92125.9828159396
United States,2022,Senior,FT,Data Scientist,180000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.100717685412471,3,180.0,2556.82,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
United Kingdom,2022,Mid,FT,Data Scientist,71982,0,M,62.0,31.1,115.2,47.1,46062.9914079698,11.184185259008464,2,72.0,1161.0,0.66,399.852,AI,4,True,False,2,False,False,False,False,False,False,False,False,True,False,8,0.0,92125.9828159396
United Kingdom,2022,Mid,FT,Data Scientist,45807,0,M,62.0,31.1,115.2,47.1,46062.9914079698,10.732214027337896,2,45.8,738.82,0.66,399.852,AI,4,True,False,2,False,False,False,False,False,False,False,False,True,False,8,0.0,92125.9828159396
Greece,2022,Mid,FT,Data Engineer,65949,100,M,52.0,12.9,53.0,33.2,20971.8349258283,11.09665215814546,2,65.9,1268.25,0.389,395.695,Engineering,2,False,True,2,False,False,True,False,False,False,False,False,False,False,4,2.0,41943.6698516566
Greece,2022,Mid,FT,Data Engineer,49461,100,M,52.0,12.9,53.0,33.2,20971.8349258283,10.808959976974403,2,49.5,951.17,0.389,395.695,Engineering,2,False,True,2,False,False,True,False,False,False,False,False,False,False,4,2.0,41943.6698516566
United Kingdom,2022,Mid,FT,Data Engineer,78526,100,M,62.0,31.1,115.2,47.1,46062.9914079698,11.271197793678173,2,78.5,1266.55,0.66,399.852,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,True,False,4,2.0,92125.9828159396
United Kingdom,2022,Mid,FT,Data Engineer,58894,100,M,62.0,31.1,115.2,47.1,46062.9914079698,10.983511476392884,2,58.9,949.9,0.66,399.852,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,True,False,4,2.0,92125.9828159396
United States,2022,Senior,FT,Data Scientist,260000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.468440756144114,3,260.0,3693.18,0.737,547.16,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,155721.8225817696
Mexico,2022,Senior,FT,Data Science Engineer,60000,100,L,40.2,15.5,45.4,28.4,11402.1410374782,11.002116507732017,3,60.0,1492.54,0.546,251.148,Engineering,2,False,True,3,False,False,False,False,False,False,True,False,False,False,6,3.0,34206.423112434604
United States,2022,Mid,FT,Data Engineer,63900,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.065090289695444,2,63.9,907.67,0.737,547.16,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,4,0.0,155721.8225817696
