Country,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,Cost of Living Index,Rent Index,Local Purchasing Power Index,Cost of Living Plus Rent Index,GDP,log_salary,experience_numeric,salary_k,adjusted_salary,rent_burden_ratio,gdp_to_power_ratio,role_category,role_numeric,remote_Onsite,remote_Remote,company_size_num,country_France,country_Germany,country_Greece,country_India,country_Japan,country_Netherlands,country_Other,country_Spain,country_United Kingdom,country_United States,exp_x_role,exp_x_remote,size_x_gdp
United States,2021,Mid,FT,Data Engineer,200000,100,L,70.4,41.7,142.3,56.6,71307.4017277218,12.206077645517674,2,200.0,2840.91,0.737,501.106,Engineering,2,False,True,3,False,False,False,False,False,False,False,False,False,True,4,2.0,213922.20518316538
Germany,2021,Senior,FT,Principal Data Scientist,173762,100,M,62.2,24.4,120.2,44.0,52265.6541620571,12.065447580772036,3,173.8,2793.6,0.555,434.822,AI,4,False,True,2,False,True,False,False,False,False,False,False,False,False,12,3.0,104531.3083241142
United States,2021,Senior,FT,Machine Learning Engineer,185000,50,L,70.4,41.7,142.3,56.6,71307.4017277218,12.128116509451258,3,185.0,2627.84,0.737,501.106,AI,4,False,False,3,False,False,False,False,False,False,False,False,False,True,12,1.5,213922.20518316538
Germany,2021,Executive,FT,Director of Data Science,141846,0,L,62.2,24.4,120.2,44.0,52265.6541620571,11.862504290912188,4,141.8,2280.48,0.555,434.822,Other,0,True,False,3,False,True,False,False,False,False,False,False,False,False,0,0.0,156796.9624861713
United States,2021,Mid,FT,Data Scientist,130000,50,L,70.4,41.7,142.3,56.6,71307.4017277218,11.775297421715827,2,130.0,1846.59,0.737,501.106,AI,4,False,False,3,False,False,False,False,False,False,False,False,False,True,8,1.0,213922.20518316538
Germany,2021,Senior,FT,Data Analyst,63831,50,L,62.2,24.4,120.2,44.0,52265.6541620571,11.064009910988117,3,63.8,1026.22,0.555,434.822,Analytics,3,False,False,3,False,True,False,False,False,False,False,False,False,False,9,1.5,156796.9624861713
India,2021,Mid,FT,Data Scientist,16904,100,S,21.2,5.6,82.6,13.7,2239.61384367482,9.735364715141987,2,16.9,797.36,0.409,27.114,AI,4,False,True,1,False,False,False,True,False,False,False,False,False,False,8,2.0,2239.61384367482
India,2021,Senior,FT,Machine Learning Engineer,66265,0,L,21.2,5.6,82.6,13.7,2239.61384367482,11.101432224123721,3,66.3,3125.71,0.409,27.114,AI,4,True,False,3,False,False,False,True,False,False,False,False,False,False,12,0.0,6718.84153102446
Germany,2021,Mid,FT,Data Scientist,25532,100,S,62.2,24.4,120.2,44.0,52265.6541620571,10.14772701214507,2,25.5,410.48,0.555,434.822,AI,4,False,True,1,False,True,False,False,False,False,False,False,False,False,8,2.0,52265.6541620571
United States,2021,Senior,FT,Lead Data Engineer,160000,50,S,70.4,41.7,142.3,56.6,71307.4017277218,11.982935344196433,3,160.0,2272.73,0.737,501.106,Engineering,2,False,False,1,False,False,False,False,False,False,False,False,False,True,6,1.5,71307.4017277218
United States,2021,Mid,FT,Data Engineer,93150,0,M,70.4,41.7,142.3,56.6,71307.4017277218,11.441977111345166,2,93.2,1323.15,0.737,501.106,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,4,0.0,142614.8034554436
United States,2021,Mid,FT,Data Engineer,111775,0,M,70.4,41.7,142.3,56.6,71307.4017277218,11.624252147606558,2,111.8,1587.71,0.737,501.106,Engineering,2,True,False,2,False,False,False,False,False,False,False,False,False,True,4,0.0,142614.8034554436
Türkiye,2021,Mid,FT,Data Engineer,28016,100,M,63.606218487394955,34.282184873949575,124.5889075630252,49.50722689075631,59686.29624943695,10.240566747777828,2,28.0,440.46,0.692,479.066,Engineering,2,False,True,2,False,False,False,False,False,False,True,False,False,False,4,2.0,119372.5924988739
Germany,2021,Entry,FT,Data Engineer,65013,50,M,62.2,24.4,120.2,44.0,52265.6541620571,11.082357910301223,1,65.0,1045.23,0.555,434.822,Engineering,2,False,False,2,False,True,False,False,False,False,False,False,False,False,2,0.5,104531.3083241142
United States,2021,Entry,FT,Data Engineer,72500,100,L,70.4,41.7,142.3,56.6,71307.4017277218,11.19135563385109,1,72.5,1029.83,0.737,501.106,Engineering,2,False,True,3,False,False,False,False,False,False,False,False,False,True,2,1.0,213922.20518316538
Brazil,2021,Senior,FT,Computer Vision Engineer,18907,0,M,30.2,7.9,37.2,19.5,7972.5366498646,9.847340391913127,3,18.9,626.06,0.405,214.316,Engineering,2,True,False,2,False,False,False,False,False,False,True,False,False,False,6,0.0,15945.0732997292
Germany,2021,Entry,FT,Data Science Consultant,76833,0,L,62.2,24.4,120.2,44.0,52265.6541620571,11.249402529502674,1,76.8,1235.26,0.555,434.822,Other,0,True,False,3,False,True,False,False,False,False,False,False,False,False,0,0.0,156796.9624861713
Germany,2021,Entry,FT,Machine Learning Engineer,85000,100,S,62.2,24.4,120.2,44.0,52265.6541620571,11.350418300109132,1,85.0,1366.56,0.555,434.822,AI,4,False,True,1,False,True,False,False,False,False,False,False,False,False,4,1.0,52265.6541620571
France,2021,Senior,FT,Data Scientist,77684,50,M,63.7,21.0,102.4,43.2,43725.0999521245,11.260417467526102,3,77.7,1219.53,0.486,427.003,AI,4,False,False,2,True,False,False,False,False,False,False,False,False,False,12,1.5,87450.199904249
United States,2021,Entry,FT,Data Scientist,100000,100,M,70.4,41.7,142.3,56.6,71307.4017277218,11.51293546492023,1,100.0,1420.45,0.737,501.106,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,4,1.0,142614.8034554436
